Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
SPAIN,2022-08-05,9000,"Prodesspa Decoratius i Pintures , S.L.",6,Insufficient legal basis for data processing,"On 2022-08-05, the DPA of SPAIN fined Prodesspa Decoratius i Pintures , S.L. €9000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-08-03,600,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-08-03, the DPA of SPAIN fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-08-08,600,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-08-08, the DPA of SPAIN fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
ROMANIA,2022-08-09,1000,Wabag Water Services SRL,"5,6",Insufficient legal basis for data processing,"On 2022-08-09, the DPA of ROMANIA fined Wabag Water Services SRL €1000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
DENMARK,2022-08-11,6700,Lolland municipiality,32,Insufficient technical and organisational measures to ensure information security,"On 2022-08-11, the DPA of DENMARK fined Lolland municipiality €6700 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-08-08,600,Restaurant owner,"5,13",Non-compliance with general data processing principles,"On 2022-08-08, the DPA of SPAIN fined Restaurant owner €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
ROMANIA,2022-08-09,7000,CDI Transport Intern și Internațional SRL,12,Insufficient fulfilment of data subjects rights,"On 2022-08-09, the DPA of ROMANIA fined CDI Transport Intern și Internațional SRL €7000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12)."
ITALY,2021-05-13,20000,Synlab Med srl,"5,9,2-",Non-compliance with general data processing principles,"On 2021-05-13, the DPA of ITALY fined Synlab Med srl €20000 for Non-compliance with general data processing principles (Violating GDPR Article 5,9,2-)."
ITALY,2022-08-01,26000,Policoro municipality,5,Non-compliance with general data processing principles,"On 2022-08-01, the DPA of ITALY fined Policoro municipality €26000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-08-01,9600,"LAST LAP, S.L.","6,9",Insufficient legal basis for data processing,"On 2022-08-01, the DPA of SPAIN fined LAST LAP, S.L. €9600 for Insufficient legal basis for data processing (Violating GDPR Article 6,9)."
SPAIN,2022-07-29,3000,"ESTUDIOS EUROPEOS DE POSTGRADO Y EMPRESA, S.L.",5,Insufficient technical and organisational measures to ensure information security,"On 2022-07-29, the DPA of SPAIN fined ESTUDIOS EUROPEOS DE POSTGRADO Y EMPRESA, S.L. €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
SPAIN,2022-08-04,2000,JAÉN SENTIDO Y COMÚN,5,Insufficient technical and organisational measures to ensure information security,"On 2022-08-04, the DPA of SPAIN fined JAÉN SENTIDO Y COMÚN €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
ROMANIA,2022-08-04,2000,Sephora Cosmetics România SA,21,Insufficient fulfilment of data subjects rights,"On 2022-08-04, the DPA of ROMANIA fined Sephora Cosmetics România SA €2000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 21)."
NORWAY,2022-08-02,30200,Krokatjønnvegen 15 AS,6,Insufficient legal basis for data processing,"On 2022-08-02, the DPA of NORWAY fined Krokatjønnvegen 15 AS €30200 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-08-02,42000,Banco Bilbao Vizcaya Argentaria S.L.,6,Insufficient legal basis for data processing,"On 2022-08-02, the DPA of SPAIN fined Banco Bilbao Vizcaya Argentaria S.L. €42000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-08-01,600,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-08-01, the DPA of SPAIN fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
FRANCE,2022-07-07,175000,UBEEQO INTERNATIONAL,"5,12",Non-compliance with general data processing principles,"On 2022-07-07, the DPA of FRANCE fined UBEEQO INTERNATIONAL €175000 for Non-compliance with general data processing principles (Violating GDPR Article 5,12)."
POLAND,2022-07-06,2120,University Hospital of the Medical University of Warsaw,"33,34",Insufficient fulfilment of data breach notification obligations,"On 2022-07-06, the DPA of POLAND fined University Hospital of the Medical University of Warsaw €2120 for Insufficient fulfilment of data breach notification obligations (Violating GDPR Article 33,34)."
ITALY,2021-09-29,11000,Territorial Administration of the Government of Genoa,5,Insufficient legal basis for data processing,"On 2021-09-29, the DPA of ITALY fined Territorial Administration of the Government of Genoa €11000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
SPAIN,2022-07-26,800,"EFS MANTENIMIENTO Y SERVICIOS TÉCNICOS, S.L.",5,Non-compliance with general data processing principles,"On 2022-07-26, the DPA of SPAIN fined EFS MANTENIMIENTO Y SERVICIOS TÉCNICOS, S.L. €800 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-07-26,2500,Homeowners Association,5,Non-compliance with general data processing principles,"On 2022-07-26, the DPA of SPAIN fined Homeowners Association €2500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GERMANY,2022-07-28,900000,Hannoversche Volksbank,6,Insufficient legal basis for data processing,"On 2022-07-28, the DPA of GERMANY fined Hannoversche Volksbank €900000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-07-26,15000,"TELEFÓNICA MÓVILES ESPAÑA, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-07-26, the DPA of SPAIN fined TELEFÓNICA MÓVILES ESPAÑA, S.A.U. €15000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-07-27,300,Private Person,5,Non-compliance with general data processing principles,"On 2022-07-27, the DPA of SPAIN fined Private Person €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
LUXEMBOURG,2022-06-30,1000,Company,"5,13",Insufficient fulfilment of information obligations,"On 2022-06-30, the DPA of LUXEMBOURG fined Company €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13)."
LUXEMBOURG,2022-06-30,1000,Company,"5,13",Insufficient fulfilment of information obligations,"On 2022-06-30, the DPA of LUXEMBOURG fined Company €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13)."
SPAIN,2022-07-22,500,CINCON S.C.,13,Insufficient fulfilment of information obligations,"On 2022-07-22, the DPA of SPAIN fined CINCON S.C. €500 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
LUXEMBOURG,2022-06-30,1400,Company,"5,13",Non-compliance with general data processing principles,"On 2022-06-30, the DPA of LUXEMBOURG fined Company €1400 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
LUXEMBOURG,2022-06-22,3000,Company,"5,13",Non-compliance with general data processing principles,"On 2022-06-22, the DPA of LUXEMBOURG fined Company €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
GERMANY,2022-07-26,1100000,Volkswagen,"13,28,30,35",Insufficient fulfilment of information obligations,"On 2022-07-26, the DPA of GERMANY fined Volkswagen €1100000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13,28,30,35)."
SPAIN,2022-07-22,40000,"ESVETEL, S.L.","28,48",Insufficient fulfilment of data subjects rights,"On 2022-07-22, the DPA of SPAIN fined ESVETEL, S.L. €40000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 28,48)."
GERMANY,,10100,Car trading group,,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Car trading group €10100 for Insufficient legal basis for data processing (Violating GDPR Article nan)."
GERMANY,,12500,Energy supplier,,Unknown,"On NaT, the DPA of GERMANY fined Energy supplier €12500 for Unknown (Violating GDPR Article nan)."
GERMANY,,12500,Energy supplier,,Unknown,"On NaT, the DPA of GERMANY fined Energy supplier €12500 for Unknown (Violating GDPR Article nan)."
GERMANY,,5000,Private individual,5,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Private individual €5000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
ITALY,2022-05-22,12000,Comune di Napoli Corpo di Polizia Municipale,"5,6,88,113",Insufficient legal basis for data processing,"On 2022-05-22, the DPA of ITALY fined Comune di Napoli Corpo di Polizia Municipale €12000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,88,113)."
ITALY,2022-05-26,50000,Azienda sanitaria universitaria Friuli Occidentale,"5,9,25,32",Insufficient technical and organisational measures to ensure information security,"On 2022-05-26, the DPA of ITALY fined Azienda sanitaria universitaria Friuli Occidentale €50000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,9,25,32)."
ITALY,2022-05-26,70000,Azienda sanitaria universitaria Friuli Centrale,"5,9,25,32",Insufficient technical and organisational measures to ensure information security,"On 2022-05-26, the DPA of ITALY fined Azienda sanitaria universitaria Friuli Centrale €70000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,9,25,32)."
ITALY,2022-05-12,2000,Singh Market,"5,13",Insufficient fulfilment of information obligations,"On 2022-05-12, the DPA of ITALY fined Singh Market €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13)."
ITALY,2022-05-26,4000,Università Agraria di Nettuno,"5,6,2-",Insufficient legal basis for data processing,"On 2022-05-26, the DPA of ITALY fined Università Agraria di Nettuno €4000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,2-)."
ITALY,2022-05-26,16000,Region of Tuscany,5,Insufficient legal basis for data processing,"On 2022-05-26, the DPA of ITALY fined Region of Tuscany €16000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
CROATIA,2022-07-21,285000,Telecommunications company,25,Insufficient technical and organisational measures to ensure information security,"On 2022-07-21, the DPA of CROATIA fined Telecommunications company €285000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
CROATIA,2022-07-21,4000,Car dealership,27ćš,Insufficient fulfilment of information obligations,"On 2022-07-21, the DPA of CROATIA fined Car dealership €4000 for Insufficient fulfilment of information obligations (Violating GDPR Article 27ćš)."
ITALY,2021-03-25,6000,Convitto Nazionale Statale 'Giordano Bruno' di Maddaloni (boarding school),5,Insufficient legal basis for data processing,"On 2021-03-25, the DPA of ITALY fined Convitto Nazionale Statale 'Giordano Bruno' di Maddaloni (boarding school) €6000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
ITALY,2022-05-12,6000,Villabate municipality,5,Non-compliance with general data processing principles,"On 2022-05-12, the DPA of ITALY fined Villabate municipality €6000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-05-26,10000,Afragola municipality,"5,2-",Non-compliance with general data processing principles,"On 2022-05-26, the DPA of ITALY fined Afragola municipality €10000 for Non-compliance with general data processing principles (Violating GDPR Article 5,2-)."
SPAIN,2022-07-18,56000,"BANKINTER, S.A.",5,Non-compliance with general data processing principles,"On 2022-07-18, the DPA of SPAIN fined BANKINTER, S.A. €56000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-07-19,4000,Bookstore employee,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-07-19, the DPA of SPAIN fined Bookstore employee €4000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2022-07-19,2000,Private individual,5,Non-compliance with general data processing principles,"On 2022-07-19, the DPA of SPAIN fined Private individual €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-07-19,5000,Bar owner,5,Non-compliance with general data processing principles,"On 2022-07-19, the DPA of SPAIN fined Bar owner €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-07-19,600,Private individual,58,Insufficient cooperation with supervisory authority,"On 2022-07-19, the DPA of SPAIN fined Private individual €600 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SPAIN,2022-07-13,132000,"DKV Seguros y Reaseguros, S.A.E.","5,32,33",Insufficient technical and organisational measures to ensure information security,"On 2022-07-13, the DPA of SPAIN fined DKV Seguros y Reaseguros, S.A.E. €132000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32,33)."
GERMANY,,0,Company,32,Insufficient technical and organisational measures to ensure information security,"On NaT, the DPA of GERMANY fined Company €0 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
GERMANY,,0,Police department,321,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police department €0 for Insufficient legal basis for data processing (Violating GDPR Article 321)."
GERMANY,,0,Police department,321,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police department €0 for Insufficient legal basis for data processing (Violating GDPR Article 321)."
GERMANY,,0,Police department,321,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police department €0 for Insufficient legal basis for data processing (Violating GDPR Article 321)."
ITALY,2021-01-27,10000,City of Rome (Roma capitale),5,Insufficient legal basis for data processing,"On 2021-01-27, the DPA of ITALY fined City of Rome (Roma capitale) €10000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
GERMANY,,0,Physician,6,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Physician €0 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
GERMANY,,0,Private individual,6,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Private individual €0 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
GERMANY,,0,Private individual,6,Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Private individual €0 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ITALY,2022-05-22,7000,Azienda Socio Sanitaria Territoriale Dei Sette Laghi,"5,9,32",Insufficient technical and organisational measures to ensure information security,"On 2022-05-22, the DPA of ITALY fined Azienda Socio Sanitaria Territoriale Dei Sette Laghi €7000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,9,32)."
CYPRUS,,5000,Cyprus Judo Federation,31,Insufficient cooperation with supervisory authority,"On NaT, the DPA of CYPRUS fined Cyprus Judo Federation €5000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 31)."
SPAIN,2022-07-01,300,Private Individual,5,Non-compliance with general data processing principles,"On 2022-07-01, the DPA of SPAIN fined Private Individual €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-05-26,2000,Turkish City,13,Insufficient fulfilment of information obligations,"On 2022-05-26, the DPA of ITALY fined Turkish City €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
DENMARK,2022-07-14,67200,SIRIUS (law firm),32,Insufficient technical and organisational measures to ensure information security,"On 2022-07-14, the DPA of DENMARK fined SIRIUS (law firm) €67200 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
POLAND,2022-07-06,12450,Głównego Geodetę Kraju,33,Insufficient fulfilment of data breach notification obligations,"On 2022-07-06, the DPA of POLAND fined Głównego Geodetę Kraju €12450 for Insufficient fulfilment of data breach notification obligations (Violating GDPR Article 33)."
GREECE,2022-07-13,20000000,Clearview Al Inc.,"5,6,9,12,14,15,27",Non-compliance with general data processing principles,"On 2022-07-13, the DPA of GREECE fined Clearview Al Inc. €20000000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,9,12,14,15,27)."
CYPRUS,,1500,Physician,31,Insufficient cooperation with supervisory authority,"On NaT, the DPA of CYPRUS fined Physician €1500 for Insufficient cooperation with supervisory authority (Violating GDPR Article 31)."
CYPRUS,2022-02-04,10000,Εκδοτικού Οίκου Δίας,"5,6",Insufficient legal basis for data processing,"On 2022-02-04, the DPA of CYPRUS fined Εκδοτικού Οίκου Δίας €10000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
CYPRUS,,2000,Oroklini Municipal Council,31,Insufficient cooperation with supervisory authority,"On NaT, the DPA of CYPRUS fined Oroklini Municipal Council €2000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 31)."
ITALY,2022-05-12,20000,Bazar di Hu Xiaoyan,"5,13,114",Insufficient fulfilment of information obligations,"On 2022-05-12, the DPA of ITALY fined Bazar di Hu Xiaoyan €20000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13,114)."
FRANCE,2022-06-23,1000000,TotalEnergies Electricité et Gaz France,"14,15,21",Insufficient fulfilment of data subjects rights,"On 2022-06-23, the DPA of FRANCE fined TotalEnergies Electricité et Gaz France €1000000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 14,15,21)."
SPAIN,2022-07-06,3000,ASOCIACIÓN DE AFICIONADOS Y PEQUEÑOS ACCIONISTAS UNIDAD HERCULANA,"5,13",Non-compliance with general data processing principles,"On 2022-07-06, the DPA of SPAIN fined ASOCIACIÓN DE AFICIONADOS Y PEQUEÑOS ACCIONISTAS UNIDAD HERCULANA €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-07-05,600,Private individual,"5,13",Non-compliance with general data processing principles,"On 2022-07-05, the DPA of SPAIN fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-07-06,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2022-07-06, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
NORWAY,2022-03-04,195000,Norwegian Parliament,5,Insufficient technical and organisational measures to ensure information security,"On 2022-03-04, the DPA of NORWAY fined Norwegian Parliament €195000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
ITALY,2022-05-26,100000,Intesa Sanpaolo S.p.A,"5,6",Insufficient legal basis for data processing,"On 2022-05-26, the DPA of ITALY fined Intesa Sanpaolo S.p.A €100000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
ITALY,2022-05-26,46000,Azienda Sanitaria Locale Roma,5,Insufficient legal basis for data processing,"On 2022-05-26, the DPA of ITALY fined Azienda Sanitaria Locale Roma €46000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
GREECE,2022-06-20,2000,WIND Ελλάς Τηλεπικοινωνίες ΑΕΒΕ,15,Insuffcient fulfilment of data subject rights,"On 2022-06-20, the DPA of GREECE fined WIND Ελλάς Τηλεπικοινωνίες ΑΕΒΕ €2000 for Insuffcient fulfilment of data subject rights (Violating GDPR Article 15)."
GREECE,2022-06-24,2000,Parliamentary election candidate,"12,113471/2006",Insuffcient fulfilment of data subject rights,"On 2022-06-24, the DPA of GREECE fined Parliamentary election candidate €2000 for Insuffcient fulfilment of data subject rights (Violating GDPR Article 12,113471/2006)."
FINLAND,2022-05-09,85000,Otavamedia Oy,"5,15,17,25",Insuffcient fulfilment of data subject rights,"On 2022-05-09, the DPA of FINLAND fined Otavamedia Oy €85000 for Insuffcient fulfilment of data subject rights (Violating GDPR Article 5,15,17,25)."
SPAIN,2022-05-24,42000,Alquiler Seguro SA,6,Insufficient legal basis for data processing,"On 2022-05-24, the DPA of SPAIN fined Alquiler Seguro SA €42000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-07-01,500,Private Individual,5,Non-compliance with general data processing principles,"On 2022-07-01, the DPA of SPAIN fined Private Individual €500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GREECE,2022-06-29,3000,Pediatric psychologist,31,Insufficient cooperation with supervisory authority,"On 2022-06-29, the DPA of GREECE fined Pediatric psychologist €3000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 31)."
UNITED KINGDOM,2022-06-09,91000,Tavistock & Portman NHS Foundation Trust,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-06-09, the DPA of UNITED KINGDOM fined Tavistock & Portman NHS Foundation Trust €91000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
SPAIN,2022-06-28,3000,"FLY FUT, S.L.",6,Insufficient legal basis for data processing,"On 2022-06-28, the DPA of SPAIN fined FLY FUT, S.L. €3000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ROMANIA,2022-06-30,2000,Continental Automotive Romania SRL,"24,32",Insufficient technical and organisational measures to ensure information security,"On 2022-06-30, the DPA of ROMANIA fined Continental Automotive Romania SRL €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 24,32)."
SPAIN,2022-06-23,30000,"RADIO TELEVISION MADRID, S.A.",5,Non-compliance with general data processing principles,"On 2022-06-23, the DPA of SPAIN fined RADIO TELEVISION MADRID, S.A. €30000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-06-23,30000,CORPORACIÓN DE RADIO Y TELEVISIÓN ESPAÑOLA S.A.,5,Non-compliance with general data processing principles,"On 2022-06-23, the DPA of SPAIN fined CORPORACIÓN DE RADIO Y TELEVISIÓN ESPAÑOLA S.A. €30000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-06-28,1000,Company,13,Insufficient fulfilment of information obligations,"On 2022-06-28, the DPA of SPAIN fined Company €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
HUNGARY,2022-02-08,634000,Budapest Bank Zrt.,5,Insufficient legal basis for data processing,"On 2022-02-08, the DPA of HUNGARY fined Budapest Bank Zrt. €634000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
POLAND,2022-05-31,2100,Stołeczny Ośrodek dla Osób Nietrzeźwych,"5,6",Insufficient legal basis for data processing,"On 2022-05-31, the DPA of POLAND fined Stołeczny Ośrodek dla Osób Nietrzeźwych €2100 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
ITALY,2022-05-22,3000,Zito Auto di Gianfranco Zito,"5,114",Non-compliance with general data processing principles,"On 2022-05-22, the DPA of ITALY fined Zito Auto di Gianfranco Zito €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5,114)."
DENMARK,2022-06-22,134000,Gyldendal A/S,5,Non-compliance with general data processing principles,"On 2022-06-22, the DPA of DENMARK fined Gyldendal A/S €134000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-06-24,180,Store owner,13,Insufficient fulfilment of information obligations,"On 2022-06-24, the DPA of SPAIN fined Store owner €180 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
ROMANIA,2022-06-20,7000,Asociația de Proprietari Aviației Park,"5,6",Insufficient legal basis for data processing,"On 2022-06-20, the DPA of ROMANIA fined Asociația de Proprietari Aviației Park €7000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
ROMANIA,2022-06-20,1000,SC Interactions Marketing SRL,32,Insufficient technical and organisational measures to ensure information security,"On 2022-06-20, the DPA of ROMANIA fined SC Interactions Marketing SRL €1000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-06-17,1000,Company,13,Insufficient fulfilment of information obligations,"On 2022-06-17, the DPA of SPAIN fined Company €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2022-06-16,1000,SCOTCH CORNER BAR,5,Non-compliance with general data processing principles,"On 2022-06-16, the DPA of SPAIN fined SCOTCH CORNER BAR €1000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-04-28,70000,Ospedale San Raffaele s.r.l.,"5,9",Non-compliance with general data processing principles,"On 2022-04-28, the DPA of ITALY fined Ospedale San Raffaele s.r.l. €70000 for Non-compliance with general data processing principles (Violating GDPR Article 5,9)."
NORWAY,2022-05-16,14500,Arbeidstilsynet,6,Insufficient legal basis for data processing,"On 2022-05-16, the DPA of NORWAY fined Arbeidstilsynet €14500 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
BELGIUM,2022-06-16,50000,SA Rossel & Cie,"6,13,14",Insufficient legal basis for data processing,"On 2022-06-16, the DPA of BELGIUM fined SA Rossel & Cie €50000 for Insufficient legal basis for data processing (Violating GDPR Article 6,13,14)."
ITALY,2022-04-28,20000,Nos s.r.l.s.,"5,6,7,13,14",Insufficient legal basis for data processing,"On 2022-04-28, the DPA of ITALY fined Nos s.r.l.s. €20000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,7,13,14)."
SPAIN,2022-06-09,10000,Private individual,6,Insufficient legal basis for data processing,"On 2022-06-09, the DPA of SPAIN fined Private individual €10000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ROMANIA,2022-06-15,3000,S.C. Wine Point S.R.L.,32,Insufficient technical and organisational measures to ensure information security,"On 2022-06-15, the DPA of ROMANIA fined S.C. Wine Point S.R.L. €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
GERMANY,,0,Real estate agent,"6,12",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Real estate agent €0 for Insufficient legal basis for data processing (Violating GDPR Article 6,12)."
ITALY,2022-04-28,40000,Il Sole 24 Ore S.p.a.,"5,9,12",Insufficient fulfilment of data subjects rights,"On 2022-04-28, the DPA of ITALY fined Il Sole 24 Ore S.p.a. €40000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5,9,12)."
ITALY,2022-04-28,2000,Ekss s.r.l.,"5,13",Insufficient fulfilment of information obligations,"On 2022-04-28, the DPA of ITALY fined Ekss s.r.l. €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13)."
SPAIN,2022-06-09,600,Private individual,5,Non-compliance with general data processing principles,"On 2022-06-09, the DPA of SPAIN fined Private individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GERMANY,,0,Company,,Unknown,"On NaT, the DPA of GERMANY fined Company €0 for Unknown (Violating GDPR Article nan)."
GERMANY,,0,Physician,"6,9",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Physician €0 for Insufficient legal basis for data processing (Violating GDPR Article 6,9)."
ITALY,2022-04-28,2000,Comune di Partanna,"5,6,2-",Insufficient legal basis for data processing,"On 2022-04-28, the DPA of ITALY fined Comune di Partanna €2000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,2-)."
GERMANY,,0,Clinic,,Insufficient involvement of data protection officer,"On NaT, the DPA of GERMANY fined Clinic €0 for Insufficient involvement of data protection officer (Violating GDPR Article nan)."
GERMANY,,0,Attorney,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Attorney €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Beverage retailer,,Unknown,"On NaT, the DPA of GERMANY fined Beverage retailer €0 for Unknown (Violating GDPR Article nan)."
GERMANY,,0,Medical clinic,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Medical clinic €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Job center employee,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Job center employee €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Job center employee,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Job center employee €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Police officer,"5,6",Insufficient legal basis for data processing,"On NaT, the DPA of GERMANY fined Police officer €0 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
GERMANY,,0,Unknown,,Unknown,"On NaT, the DPA of GERMANY fined Unknown €0 for Unknown (Violating GDPR Article nan)."
